t,VRef,Ec,Vs,IFD,VT,VUEL,VOEL,EFD
0,1,1,0,0,1,-5,5,1.14638e-311
0.005,1,1,0,0,1,-5,5,1.14638e-311
0.01,1,1,0,0,1,-5,5,1.14638e-311
0.015,1,1,0,0,1,-5,5,1.14638e-311
0.02,1,1,0,0,1,-5,5,1.14638e-311
0.025,1,1,0,0,1,-5,5,1.14638e-311
0.03,1,1,0,0,1,-5,5,1.14638e-311
0.035,1,1,0,0,1,-5,5,1.14638e-311
0.04,1,1,0,0,1,-5,5,1.14638e-311
0.045,1,1,0,0,1,-5,5,1.14638e-311
0.05,1,1,0,0,1,-5,5,1.14638e-311
0.055,1,1,0,0,1,-5,5,1.14638e-311
0.06,1,1,0,0,1,-5,5,1.14638e-311
0.065,1,1,0,0,1,-5,5,1.14638e-311
0.07,1,1,0,0,1,-5,5,1.14638e-311
0.075,1,1,0,0,1,-5,5,1.14638e-311
0.08,1,1,0,0,1,-5,5,1.14638e-311
0.085,1,1,0,0,1,-5,5,1.14638e-311
0.09,1,1,0,0,1,-5,5,1.14638e-311
0.095,1,1,0,0,1,-5,5,1.14638e-311
0.1,1,1,0,0,1,-5,5,1.14638e-311
0.105,1,1,0,0,1,-5,5,1.14638e-311
0.11,1,1,0,0,1,-5,5,1.14638e-311
0.115,1,1,0,0,1,-5,5,1.14638e-311
0.12,1,1,0,0,1,-5,5,1.14638e-311
0.125,1,1,0,0,1,-5,5,1.14638e-311
0.13,1,1,0,0,1,-5,5,1.14638e-311
0.135,1,1,0,0,1,-5,5,1.14638e-311
0.14,1,1,0,0,1,-5,5,1.14638e-311
0.145,1,1,0,0,1,-5,5,1.14638e-311
0.15,1,1,0,0,1,-5,5,1.14638e-311
0.155,1,1,0,0,1,-5,5,1.14638e-311
0.16,1,1,0,0,1,-5,5,1.14638e-311
0.165,1,1,0,0,1,-5,5,1.14638e-311
0.17,1,1,0,0,1,-5,5,1.14638e-311
0.175,1,1,0,0,1,-5,5,1.14638e-311
0.18,1,1,0,0,1,-5,5,1.14638e-311
0.185,1,1,0,0,1,-5,5,1.14638e-311
0.19,1,1,0,0,1,-5,5,1.14638e-311
0.195,1,1,0,0,1,-5,5,1.14638e-311
0.2,1,1,0,0,1,-5,5,1.14638e-311
0.205,1,1,0,0,1,-5,5,1.14638e-311
0.21,1,1,0,0,1,-5,5,1.14638e-311
0.215,1,1,0,0,1,-5,5,1.14638e-311
0.22,1,1,0,0,1,-5,5,1.14638e-311
0.225,1,1,0,0,1,-5,5,1.14638e-311
0.23,1,1,0,0,1,-5,5,1.14638e-311
0.235,1,1,0,0,1,-5,5,1.14638e-311
0.24,1,1,0,0,1,-5,5,1.14638e-311
0.245,1,1,0,0,1,-5,5,1.14638e-311
0.25,1,1,0,0,1,-5,5,1.14638e-311
0.255,1,1,0,0,1,-5,5,1.14638e-311
0.26,1,1,0,0,1,-5,5,1.14638e-311
0.265,1,1,0,0,1,-5,5,1.14638e-311
0.27,1,1,0,0,1,-5,5,1.14638e-311
0.275,1,1,0,0,1,-5,5,1.14638e-311
0.28,1,1,0,0,1,-5,5,1.14638e-311
0.285,1,1,0,0,1,-5,5,1.14638e-311
0.29,1,1,0,0,1,-5,5,1.14638e-311
0.295,1,1,0,0,1,-5,5,1.14638e-311
0.3,1,1,0,0,1,-5,5,1.14638e-311
0.305,1,1,0,0,1,-5,5,1.14638e-311
0.31,1,1,0,0,1,-5,5,1.14638e-311
0.315,1,1,0,0,1,-5,5,1.14638e-311
0.32,1,1,0,0,1,-5,5,1.14638e-311
0.325,1,1,0,0,1,-5,5,1.14638e-311
0.33,1,1,0,0,1,-5,5,1.14638e-311
0.335,1,1,0,0,1,-5,5,1.14638e-311
0.34,1,1,0,0,1,-5,5,1.14638e-311
0.345,1,1,0,0,1,-5,5,1.14638e-311
0.35,1,1,0,0,1,-5,5,1.14638e-311
0.355,1,1,0,0,1,-5,5,1.14638e-311
0.36,1,1,0,0,1,-5,5,1.14638e-311
0.365,1,1,0,0,1,-5,5,1.14638e-311
0.37,1,1,0,0,1,-5,5,1.14638e-311
0.375,1,1,0,0,1,-5,5,1.14638e-311
0.38,1,1,0,0,1,-5,5,1.14638e-311
0.385,1,1,0,0,1,-5,5,1.14638e-311
0.39,1,1,0,0,1,-5,5,1.14638e-311
